Paper ,Title,Country,Lat,Long
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
1,"Development, growth and yield of late-sown soybeans in the southern Pampas",Argentina,-35.0000? S,-62.0000? W
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
2,Variability of Biomass and Harvest Index from Several Soybean Genotypes as Renewable Energy Source,Indonesia,-7.6400? S,112.9125? E
3,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",China,41.0000? N,123.0000? E
3,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",China,41.0000? N,123.0000? E
3,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",China,41.0000? N,123.0000? E
3,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",China,41.0000? N,123.0000? E
3,"Characteristics of Yield and Harvest Index, and Evaluation of Balanced Nutrient Uptake of Soybean in Northeast China",China,41.0000? N,123.0000? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
4,"Responses of Soybean Genotypes to Different Nitrogen and Phosphorus Sources: Impacts on Yield Components, Seed Yield, and Seed Protein",Philippines,12.5657? N,104.9910? E
